상권_코드,상권명,총_유동인구,야간_17_24시,야간_18_01시,야간_19_02시,최적야간구간_17-24시,최고요일_수,주말_평균,주중_평균
3130213,방신전통시장,216540,71095,68771.5,66448.0,71095,30619,32273.5,30398.6
3130212,공항시장,496571,144674,141636.66666666666,138599.3333333333,144674,71718,69322.0,71585.4
3130211,신정2동 골목시장(오목교중앙시장),521466,171936,166484.83333333334,161033.66666666666,171936,72102,81249.5,71793.4
3130210,목2동시장,374813,123660,119107.08333333331,114554.16666666666,123660,52495,56342.0,52426.0
3130209,목사랑시장(목4동시장),394936,115374,117767.75,120161.5,115374,55929,57259.5,56083.4
3130208,목동깨비시장(목3동시장),341453,113029,107718.91666666669,102408.83333333331,113029,48824,48966.0,48704.0
3130207,신정1동 골목시장(신정제일시장),88825,30081,27092.666666666668,24104.333333333332,30081,12721,12866.5,12618.4
3130206,신정3동 골목시장,51807,18395,16696.0,14997.0,18395,7589,7082.0,7528.4
3130205,신곡종합시장(신월6동 골목시장),41543,14336,13576.833333333334,12817.666666666666,14336,5936,6177.0,5838.0
3130204,경창시장,210554,71422,69372.83333333333,67323.66666666666,71422,29352,32128.0,29259.4
3130203,서서울 골목형상점가,138973,49028,46264.75,43501.5,49028,19082,21998.0,18995.4
3130202,신영시장,208742,74264,70373.83333333333,66483.66666666667,74264,29250,31413.0,29183.0
3130201,월정로시장,214582,68256,69768.08333333333,71280.16666666666,68256,30638,31420.0,30348.4
3130200,"신월7동 골목시장(약수시장, 우성상가)",86405,35261,31858.833333333332,28456.666666666664,35261,12124,13057.0,12058.0
3130199,신월3동 골목시장,281552,73227,78259.75,83292.5,73227,38968,43052.5,39089.6
3130198,아현시장,569955,167496,163750.08333333334,160004.16666666666,167496,81529,80435.5,81817.0
3130197,마포시장,87820,25139,22583.916666666668,20028.833333333332,25139,13633,8651.0,14104.0
3130196,공덕시장,30482,8467,7730.666666666667,6994.333333333333,8467,4749,3014.0,4891.0
3130195,도화동 상점가,1907791,615675,576250.8333333334,536826.6666666666,615675,274355,254918.0,279591.0
3130194,용강동 상점가,528833,160010,154802.0,149594.0,160010,76251,72163.0,76901.2
3130193,신수시장,67275,19178,19412.5,19647.0,19178,9560,9834.0,9521.4
3130192,동진시장,49170,15204,15135.25,15066.5,15204,6788,7804.0,6712.4
3130191,홍대 걷고싶은 거리,579586,223224,193648.0,164072.0,223224,83037,86673.0,81247.6
3130190,홍대소상공인상점가,526786,203437,178594.16666666666,153751.33333333334,203437,73443,84384.0,71603.6
3130189,서교시장,81663,31507,27649.333333333332,23791.666666666668,31507,11346,13285.5,11018.4
3130188,합정시장,82636,30311,26514.083333333332,22717.166666666668,30311,12228,10222.5,12438.0
3130187,영진시장,40582,12924,12193.916666666666,11463.833333333332,12924,6036,5201.0,6036.0
3130186,망원시장,314999,100278,98257.75,96237.5,100278,44158,49800.5,43079.6
3130185,망원월드컵시장,270704,88702,85210.83333333333,81719.66666666666,88702,38328,40837.5,37806.2
3130184,마포농수산물시장,27043,7386,6623.916666666667,5861.833333333333,7386,3866,4414.0,3643.0
3130183,상암동상점가,1217438,392544,365428.3333333333,338312.6666666666,392544,180410,143609.5,186043.8
3130182,영천시장,699338,226346,216769.33333333337,207192.66666666663,226346,100306,97402.5,100906.6
3130181,아현가구거리상점가,2702648,727455,721031.6666666666,714608.3333333333,727455,404862,317681.0,413457.2
3130180,포방터시장,407966,126551,124124.91666666666,121698.83333333331,126551,56024,65428.5,55422.6
3130179,"이화여대 3,5,7길 상점가",858943,254223,245193.58333333337,236164.16666666663,254223,124465,119341.5,124052.2
3130178,이대 앞 스타트업 상점가,41248,11216,10340.0,9464.0,11216,6236,4688.0,6374.4
3130177,인왕시장(홍제골목형상점가),33860,12324,11024.916666666666,9725.833333333334,12324,4838,4669.0,4904.2
